Time,Average Power (mW)
05-10-2024 05:57:02,7798.574660633484
05-10-2024 05:57:32,7766.545454545455
05-10-2024 05:58:02,7766.194570135746
05-10-2024 05:58:32,7764.479452054795
05-10-2024 05:59:02,7768.272727272727
05-10-2024 05:59:32,7774.790909090909
05-10-2024 06:00:02,7804.959641255606
05-10-2024 06:00:32,7761.640909090909
05-10-2024 06:01:02,7785.823529411765
05-10-2024 06:01:32,7764.819004524887
05-10-2024 06:02:02,7782.931818181818
05-10-2024 06:02:32,7814.201834862385
05-10-2024 06:03:02,7775.036529680366
05-10-2024 06:03:32,7775.287671232877
05-10-2024 06:04:02,7771.068181818182
05-10-2024 06:04:32,7777.436363636363
05-10-2024 06:05:02,7810.606334841629
05-10-2024 06:05:32,7761.420814479638
05-10-2024 06:06:02,7762.324200913242
05-10-2024 06:06:32,7773.009090909091
05-10-2024 06:07:02,7767.182648401827
05-10-2024 06:07:32,7769.513513513513
05-10-2024 06:08:02,7829.900452488688
05-10-2024 06:08:32,7772.7168949771685
05-10-2024 06:09:02,7773.608108108108
05-10-2024 06:09:32,7782.779816513761
05-10-2024 06:10:02,7765.109090909091
05-10-2024 06:10:32,7804.031818181818
05-10-2024 06:11:02,7759.803652968037
05-10-2024 06:11:32,7781.316742081448
05-10-2024 06:12:02,7766.127272727273
05-10-2024 06:12:32,7773.004504504504
05-10-2024 06:13:02,7797.659090909091
05-10-2024 06:13:32,7773.441441441441
05-10-2024 06:14:02,7765.588235294118
05-10-2024 06:14:32,7773.669683257918
05-10-2024 06:15:02,7822.260089686099
05-10-2024 06:15:32,7773.950226244344
05-10-2024 06:16:02,7765.239819004525
05-10-2024 06:16:32,7785.2054794520545
05-10-2024 06:17:02,7829.817351598173
05-10-2024 06:17:32,7867.443438914027
05-10-2024 06:18:02,7775.045662100457
05-10-2024 06:18:32,7782.298165137615
05-10-2024 06:19:02,7786.195454545455
05-10-2024 06:19:32,8550.752252252252
05-10-2024 06:20:02,7780.552511415525
05-10-2024 06:20:32,7773.818181818182
05-10-2024 06:21:02,7775.189189189189
05-10-2024 06:21:32,7790.75
05-10-2024 06:22:02,7780.90990990991
05-10-2024 06:22:32,7820.878378378378
05-10-2024 06:23:02,7773.009049773756
05-10-2024 06:23:32,7782.117647058823
05-10-2024 06:24:02,7779.359090909091
05-10-2024 06:24:32,7776.288288288289
05-10-2024 06:25:02,7786.145454545454
05-10-2024 06:25:32,7814.187214611872
05-10-2024 06:26:02,7774.380090497738
05-10-2024 06:26:32,7783.488687782806
05-10-2024 06:27:02,7785.8009049773755
05-10-2024 06:27:32,7778.377272727273
05-10-2024 06:28:02,7819.049773755656
05-10-2024 06:28:32,7781.821100917431
05-10-2024 06:29:02,7788.621621621622
05-10-2024 06:29:32,7777.486607142857
05-10-2024 06:30:02,7777.776255707762
05-10-2024 06:30:32,7773.954751131222
05-10-2024 06:31:02,7816.433789954338
05-10-2024 06:31:32,7787.4495412844035
05-10-2024 06:32:02,7778.157657657658
05-10-2024 06:32:32,7789.0504587155965
05-10-2024 06:33:02,7782.459459459459
05-10-2024 06:33:32,7783.75799086758
05-10-2024 06:34:02,7825.316513761468
05-10-2024 06:34:32,7779.372727272727
05-10-2024 06:35:02,7789.705069124424
05-10-2024 06:35:32,7787.298165137615
05-10-2024 06:36:02,7791.277272727273
05-10-2024 06:36:32,7791.768181818182
05-10-2024 06:37:02,7819.190909090909
05-10-2024 06:37:32,7791.159090909091
05-10-2024 06:38:02,7779.680365296804
05-10-2024 06:38:32,7771.954954954955
05-10-2024 06:39:02,7779.140909090909
05-10-2024 06:39:32,7776.882882882883
05-10-2024 06:40:02,7815.681818181818
05-10-2024 06:40:32,7766.568181818182
05-10-2024 06:41:02,7774.628959276018
05-10-2024 06:41:32,7794.37899543379
05-10-2024 06:42:02,7770.922374429224
05-10-2024 06:42:32,7777.7945205479455
05-10-2024 06:43:02,7825.158371040724
05-10-2024 06:43:32,7792.886363636364
05-10-2024 06:44:02,7790.256756756757
05-10-2024 06:44:32,7794.004545454545
05-10-2024 06:45:02,7788.671171171171
05-10-2024 06:45:32,7780.672727272728
05-10-2024 06:46:02,7793.197247706422
05-10-2024 06:46:32,7814.881818181818
05-10-2024 06:47:02,7791.7
05-10-2024 06:47:32,7779.219178082192
05-10-2024 06:48:02,7832.184684684685
05-10-2024 06:48:32,7781.44495412844
05-10-2024 06:49:02,7788.639639639639
05-10-2024 06:49:32,7788.472727272727
05-10-2024 06:50:02,7837.6742081447965
05-10-2024 06:50:32,7788.461538461538
05-10-2024 06:51:02,7785.041095890411
05-10-2024 06:51:32,7796.522727272727
05-10-2024 06:52:02,7785.721461187215
